image_id,psnr,ssim,time_seconds
000000155291.jpg,13.1114,0.5426,12.627
000000156292.jpg,12.3525,0.544,12.915
000000156372.jpg,15.5489,0.6926,7.02
000000157138.jpg,19.771,0.8178,7.723
000000157928.jpg,17.6153,0.7778,15.133
000000158744.jpg,17.8692,0.6922,13.039
000000159977.jpg,17.07,0.7305,13.007
000000162581.jpg,9.7478,0.2823,15.47
000000163562.jpg,20.1754,0.8393,7.095
000000166259.jpg,15.9294,0.74,12.662
000000167122.jpg,10.6817,0.2667,15.222
000000168330.jpg,16.5207,0.648,11.672
000000170116.jpg,15.6336,0.6768,15.034
000000170191.jpg,16.7883,0.6116,16.989
000000170670.jpg,11.5568,0.5154,13.192
000000173371.jpg,17.8079,0.7852,19.447
000000176606.jpg,11.2483,0.499,15.761
000000179642.jpg,12.8471,0.5962,12.611
000000179765.jpg,16.9515,0.7975,14.619
000000179898.jpg,19.8822,0.8264,14.952
000000180011.jpg,12.0373,0.5651,16.054
000000180798.jpg,19.1571,0.8806,8.022
000000181303.jpg,10.4613,0.4771,10.66
000000181666.jpg,15.7741,0.729,12.932
000000182155.jpg,19.1123,0.7733,12.861
000000183127.jpg,13.2869,0.47,13.18
000000185409.jpg,14.705,0.7179,13.008
000000186632.jpg,17.4361,0.7653,15.927
000000186637.jpg,10.1785,0.5535,12.502
000000186929.jpg,17.4349,0.653,7.283
000000187055.jpg,12.5266,0.5727,12.531
000000188439.jpg,12.441,0.6331,12.124
000000190236.jpg,13.511,0.6086,11.511
000000190756.jpg,23.281,0.9195,14.786
000000195754.jpg,14.7227,0.6231,13.302
000000196141.jpg,16.7826,0.7303,12.449
000000196185.jpg,17.6465,0.692,12.751
000000196843.jpg,13.0498,0.64,15.139
000000197388.jpg,13.8301,0.6215,11.319
000000198641.jpg,13.7221,0.4935,15.268
000000199236.jpg,13.6243,0.6369,12.512
000000199681.jpg,19.6333,0.7437,14.714
000000200162.jpg,15.4685,0.781,12.74
000000200252.jpg,21.0987,0.8673,8.005
000000200961.jpg,12.7954,0.5493,13.111
000000201775.jpg,19.0591,0.7609,8.168
000000205105.jpg,16.4825,0.5926,12.679
000000205647.jpg,14.5427,0.6155,12.77
000000205776.jpg,14.74,0.6372,12.429
