image_id,psnr,ssim,time_seconds
000000155291.jpg,16.6055,0.6334,0.868
000000156292.jpg,25.012,0.9324,0.954
000000156372.jpg,22.3624,0.7868,0.548
000000157138.jpg,15.8808,0.7001,0.593
000000157928.jpg,24.6339,0.83,0.881
000000158744.jpg,26.9305,0.8768,0.899
000000159977.jpg,21.3898,0.6501,1.108
000000162581.jpg,21.6821,0.7692,1.002
000000163562.jpg,16.7478,0.6372,0.551
000000166259.jpg,18.452,0.6924,0.881
000000167122.jpg,25.3827,0.7356,1.02
000000168330.jpg,19.3316,0.6047,1.022
000000170116.jpg,19.7714,0.7597,1.051
000000170191.jpg,20.0615,0.5988,1.177
000000170670.jpg,19.1097,0.7088,0.924
000000173371.jpg,18.5281,0.7158,1.239
000000176606.jpg,17.5345,0.7127,0.906
000000179642.jpg,16.2651,0.5909,1.039
000000179765.jpg,17.4341,0.5954,1.061
000000179898.jpg,18.3161,0.6222,0.938
000000180011.jpg,19.6629,0.7601,1.099
000000180798.jpg,12.6996,0.7158,0.618
000000181303.jpg,16.669,0.8692,0.814
000000181666.jpg,10.4288,0.735,0.93
000000182155.jpg,15.0703,0.6673,0.972
000000183127.jpg,18.9595,0.5097,0.893
000000185409.jpg,19.1959,0.727,1.067
000000186632.jpg,22.2707,0.8995,0.842
000000186637.jpg,22.1013,0.9386,0.821
000000186929.jpg,13.1015,0.591,0.561
000000187055.jpg,15.4222,0.7445,0.876
000000188439.jpg,21.5121,0.8677,0.898
000000190236.jpg,19.9749,0.7866,0.812
000000190756.jpg,15.9479,0.7337,1.066
000000195754.jpg,19.0316,0.673,0.866
000000196141.jpg,20.4258,0.7578,0.896
000000196185.jpg,17.0255,0.8154,0.801
000000196843.jpg,17.0766,0.8336,0.888
000000197388.jpg,19.1181,0.7235,0.711
000000198641.jpg,17.5399,0.6233,0.964
000000199236.jpg,18.8373,0.7562,0.782
000000199681.jpg,29.2168,0.84,0.997
000000200162.jpg,18.1446,0.7442,0.975
000000200252.jpg,16.4576,0.4946,0.626
000000200961.jpg,18.5899,0.628,0.977
000000201775.jpg,19.0811,0.5945,0.567
000000205105.jpg,25.1008,0.746,0.872
000000205647.jpg,13.6653,0.8067,0.942
000000205776.jpg,24.0141,0.725,0.913
000000206135.jpg,28.3655,0.9826,0.995
000000206411.jpg,19.1355,0.5777,1.02
000000206994.jpg,18.0409,0.8546,0.923
000000207306.jpg,19.2681,0.7757,0.658
000000209972.jpg,21.1515,0.7792,0.688
000000210230.jpg,19.6319,0.8323,0.95
000000210299.jpg,20.7211,0.9089,0.944
000000211674.jpg,21.1428,0.8093,0.885
000000214192.jpg,20.1675,0.9423,0.946
000000214205.jpg,22.4491,0.7762,0.848
000000215245.jpg,20.0365,0.8453,0.988
000000215259.jpg,18.0286,0.6517,0.542
000000216636.jpg,15.9389,0.5061,1.005
000000219440.jpg,24.1241,0.8579,0.836
000000219578.jpg,15.2005,0.6354,0.841
000000222118.jpg,19.8493,0.8216,0.865
000000222299.jpg,19.4988,0.7224,0.654
000000223130.jpg,18.4411,0.6493,0.863
000000223738.jpg,19.7373,0.7975,1.357
000000224337.jpg,22.5501,0.697,0.892
000000225405.jpg,17.3322,0.7022,0.998
000000226111.jpg,17.1732,0.7698,1.144
000000226984.jpg,19.286,0.6101,0.981
000000228981.jpg,15.5428,0.7068,1.264
000000229659.jpg,17.2124,0.7971,1.011
000000229849.jpg,17.2565,0.689,0.833
000000230008.jpg,19.7555,0.8143,0.77
000000230166.jpg,20.1136,0.6108,0.985
000000231237.jpg,18.055,0.7573,0.591
000000231549.jpg,23.2051,0.6688,0.885
000000232538.jpg,19.5678,0.7076,0.992
000000232646.jpg,16.1841,0.6376,1.07
000000233033.jpg,20.1702,0.7519,1.028
000000234366.jpg,18.0199,0.7732,0.91
000000234526.jpg,19.1083,0.8832,1.265
000000235778.jpg,21.1961,0.8012,0.739
000000235836.jpg,19.5473,0.8946,0.815
000000239318.jpg,18.9772,0.7122,0.658
000000245320.jpg,22.0212,0.8367,0.928
000000245576.jpg,17.6929,0.7013,1.037
000000246454.jpg,30.1033,0.8635,1.455
000000247917.jpg,17.8376,0.6662,1.229
000000248334.jpg,17.8037,0.65,0.638
000000248810.jpg,21.3221,0.7671,0.644
000000249180.jpg,22.5312,0.8715,0.944
000000249643.jpg,20.6222,0.8218,1.039
000000250127.jpg,20.0335,0.7989,1.295
000000250137.jpg,21.3278,0.7836,0.987
000000250282.jpg,20.7088,0.7026,0.908
000000250619.jpg,16.1192,0.5271,0.919
000000252216.jpg,15.9281,0.4794,0.939
000000252294.jpg,16.5111,0.6199,0.694
000000252776.jpg,20.7265,0.82,0.878
000000255718.jpg,18.4767,0.7311,1.03
000000257624.jpg,18.7089,0.6975,0.915
000000260657.jpg,16.1429,0.6679,0.52
000000261888.jpg,19.5788,0.8551,0.902
000000262938.jpg,17.2597,0.6799,0.993
000000263068.jpg,22.388,0.73,0.584
000000263299.jpg,17.3793,0.6698,0.49
000000263463.jpg,21.4002,0.8516,0.997
000000263474.jpg,18.8941,0.6889,1.137
000000263796.jpg,20.0279,0.8025,1.085
000000267351.jpg,16.2441,0.7895,0.871
000000269196.jpg,17.4026,0.6948,0.972
000000270244.jpg,21.3299,0.6403,0.842
000000270386.jpg,19.473,0.8084,0.747
000000272136.jpg,19.2866,0.61,1.04
000000274272.jpg,23.6401,0.8304,1.105
000000278749.jpg,19.1934,0.7812,0.636
000000279145.jpg,19.2141,0.7819,1.053
000000281414.jpg,17.9186,0.4915,0.959
000000282046.jpg,25.5771,0.7762,0.536
000000284106.jpg,15.7023,0.6622,0.912
000000284743.jpg,19.8917,0.8094,5.281
000000285349.jpg,15.2771,0.5075,0.708
000000286182.jpg,15.2518,0.7232,1.036
000000286523.jpg,18.2716,0.6197,1.015
000000287667.jpg,19.2953,0.6377,1.008
000000288862.jpg,22.2695,0.7391,0.883
000000289594.jpg,23.4372,0.8197,1.138
000000291551.jpg,17.6664,0.7123,0.979
000000292005.jpg,13.1863,0.6414,1.172
000000292415.jpg,12.8807,0.7085,2.183
000000293245.jpg,16.906,0.6249,1.058
000000294350.jpg,22.593,0.8684,0.925
000000296284.jpg,18.8814,0.697,0.332
000000296634.jpg,19.8564,0.5886,1.013
000000296657.jpg,21.4584,0.8658,1.036
000000297085.jpg,21.0137,0.7569,0.572
000000297578.jpg,22.6192,0.7064,0.514
000000298396.jpg,22.908,0.793,1.222
000000298697.jpg,15.8117,0.8155,1.089
000000304560.jpg,20.0495,0.8834,0.903
000000307074.jpg,17.0528,0.5741,0.521
000000307145.jpg,18.1757,0.6538,0.421
000000308753.jpg,19.3331,0.6948,1.083
000000310980.jpg,22.5414,0.739,0.832
000000312192.jpg,18.333,0.6624,0.972
000000312237.jpg,16.7125,0.7456,0.665
000000312489.jpg,21.3135,0.708,0.593
000000313562.jpg,18.353,0.7077,1.008
000000314914.jpg,18.0631,0.7675,0.897
000000317999.jpg,20.0209,0.6775,1.118
000000319617.jpg,21.1746,0.617,0.305
000000320706.jpg,17.7175,0.5307,0.975
000000322352.jpg,21.206,0.7873,0.582
000000322864.jpg,15.5376,0.5823,0.969
000000322895.jpg,20.6136,0.6582,1.132
000000325031.jpg,17.6928,0.7385,1.332
000000326128.jpg,18.5078,0.708,0.992
000000327769.jpg,17.0712,0.7696,0.911
000000331075.jpg,20.9043,0.8081,1.258
000000331604.jpg,18.2529,0.6539,1.006
000000333697.jpg,22.8082,0.7938,0.897
000000335529.jpg,19.475,0.802,0.916
000000336209.jpg,21.578,0.7474,0.92
000000337055.jpg,21.1793,0.7322,0.888
000000340272.jpg,17.2702,0.771,0.821
000000341681.jpg,16.4391,0.4756,0.798
000000343803.jpg,17.8204,0.5872,0.963
000000343976.jpg,23.4723,0.8545,0.635
000000344795.jpg,22.2145,0.8199,3.482
000000345397.jpg,19.5533,0.6298,0.608
000000346232.jpg,16.6508,0.739,0.906
000000346638.jpg,18.1406,0.6546,1.223
000000350054.jpg,20.8584,0.7214,0.618
000000350388.jpg,15.693,0.4337,1.057
000000350833.jpg,16.0804,0.5802,0.941
000000354829.jpg,22.0993,0.6374,0.578
000000355325.jpg,18.5462,0.6329,1.029
000000358427.jpg,21.666,0.6192,0.796
000000359219.jpg,20.214,0.508,1.064
000000359540.jpg,19.8695,0.7003,1.01
000000359833.jpg,17.6501,0.6807,1.003
000000360137.jpg,19.3421,0.5968,1.37
000000360325.jpg,16.4183,0.6567,0.993
000000361506.jpg,21.4125,0.5998,1.119
000000362434.jpg,20.4927,0.7169,0.632
000000364102.jpg,22.6005,0.7806,0.828
000000364636.jpg,15.2959,0.5727,1.087
000000365098.jpg,16.2539,0.5421,0.914
000000369503.jpg,24.1732,0.7313,0.628
000000374551.jpg,18.6423,0.6755,0.542
000000374727.jpg,20.4257,0.794,0.872
000000376856.jpg,13.8355,0.6379,1.003
000000377239.jpg,15.8162,0.5377,0.929
000000377486.jpg,20.2562,0.8045,0.987
000000377575.jpg,21.0442,0.811,0.88
000000377588.jpg,19.3092,0.7876,0.934
000000378284.jpg,16.0832,0.5411,0.952
000000378453.jpg,18.0395,0.8374,0.599
000000379533.jpg,17.5461,0.8114,1.382
000000379842.jpg,20.8737,0.6524,0.77
000000382009.jpg,21.5583,0.7509,0.925
000000383842.jpg,19.4595,0.6761,0.901
000000384350.jpg,16.5863,0.7472,0.975
000000384651.jpg,19.3317,0.8917,0.946
000000385997.jpg,20.6783,0.7504,0.928
000000389316.jpg,20.1244,0.6986,0.721
000000389684.jpg,21.5056,0.8908,1.081
000000390301.jpg,21.7778,0.897,0.622
000000393115.jpg,20.4359,0.7306,1.254
000000397354.jpg,21.5185,0.7731,1.046
000000397681.jpg,13.6543,0.7899,1.4
000000398810.jpg,25.2816,0.8374,0.781
000000400573.jpg,20.9451,0.8127,1.163
000000400803.jpg,17.0759,0.7212,0.951
000000401250.jpg,13.5536,0.8159,0.914
000000401991.jpg,18.1295,0.753,0.803
000000402096.jpg,20.1615,0.5959,1.075
000000402346.jpg,19.6656,0.5864,1.032
000000403565.jpg,16.9147,0.8155,0.977
000000405432.jpg,16.0334,0.7912,0.632
000000406570.jpg,16.4395,0.6623,1.009
000000407646.jpg,15.1577,0.7582,0.69
000000407650.jpg,20.3081,0.7382,1.113
000000409198.jpg,22.6882,0.7152,0.842
000000409268.jpg,21.6791,0.7145,0.961
000000411953.jpg,12.2634,0.262,0.734
000000412286.jpg,26.2744,0.7531,0.492
000000414133.jpg,16.5997,0.9262,1.059
000000414261.jpg,21.3227,0.6356,0.889
000000415748.jpg,15.0419,0.5459,0.968
